agent,seq,tool,ts,tokens_in,tokens_out,cost_usd,cost_kind,duration_ms,model,success
main,36,file_ops,2026-06-28T20:47:17.541336+00:00,59721,145,0.124149,llm,2,anthropic/claude-sonnet-4-6,True
main,38,file_ops,2026-06-28T20:47:17.547283+00:00,59721,145,0.124149,llm,4,anthropic/claude-sonnet-4-6,True
main,40,todo,2026-06-28T20:50:41.028079+00:00,65454,12259,0.323058,llm,11,anthropic/claude-sonnet-4-6,True
main/analyze,2,file_ops,2026-06-28T20:51:24.505431+00:00,17809,119,0.068566,llm,3,anthropic/claude-sonnet-4-6,True
main/analyze,4,file_ops,2026-06-28T20:51:27.179244+00:00,20675,119,0.015734,llm,4,anthropic/claude-sonnet-4-6,True
main/analyze,6,bash,2026-06-28T20:51:31.021796+00:00,23357,175,0.024620,llm,54,anthropic/claude-sonnet-4-6,True
main/analyze,8,file_ops,2026-06-28T20:52:24.755889+00:00,23451,3852,0.080057,llm,10,anthropic/claude-sonnet-4-6,True
main/analyze,10,bash,2026-06-28T20:52:27.632360+00:00,27334,94,0.035336,llm,109,anthropic/claude-sonnet-4-6,False
main/analyze,12,bash,2026-06-28T20:52:31.756018+00:00,27522,98,0.035960,llm,1363,anthropic/claude-sonnet-4-6,True
main,45,task,2026-06-28T20:52:46.223873+00:00,66439,1946,0.171318,llm,85832,anthropic/claude-sonnet-4-6,True
main,47,file_ops,2026-06-28T20:53:00.121067+00:00,69089,551,0.158343,llm,2,anthropic/claude-sonnet-4-6,True
main,49,todo,2026-06-28T20:53:11.609313+00:00,70791,350,0.160434,llm,1,anthropic/claude-sonnet-4-6,True
