# Field minima and maxima
# Time         	field          	min            	location(min)  	max            	location(max)  
0              	U              	0.0000000e+00	(2.5225794e+00 1.7151207e-01 6.4900000e+00)	1.7320508e-01	(7.1919808e-02 6.5388253e-02 7.7903065e-02)
7              	T              	2.9138960e+02	(6.4341352e+00 1.3062468e+00 6.9262724e+00)	3.0281000e+02	(1.6633496e-01 1.6137822e-01 2.9200000e+00)
7              	p_rgh          	-2.4702819e+01	(3.4827935e+00 2.5837751e+00 7.0000000e+00)	1.1517806e+00	(6.4359828e+00 3.1622552e+00 6.9282320e+00)
8              	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	4.8518646e+00	(3.4816139e+00 2.5843729e+00 3.4619028e-02)
8              	T              	2.9139230e+02	(6.4341347e+00 1.4437495e+00 6.9262734e+00)	3.0281000e+02	(1.6633496e-01 1.6137822e-01 2.9200000e+00)
8              	p_rgh          	-2.5099125e+01	(3.4827935e+00 2.5837751e+00 7.0000000e+00)	1.2263954e+00	(6.4359828e+00 3.1622552e+00 6.9282320e+00)
9              	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	4.9569998e+00	(3.4816139e+00 2.5843729e+00 3.4619028e-02)
9              	T              	2.9139485e+02	(6.4341345e+00 1.5812504e+00 6.9262736e+00)	3.0281000e+02	(1.6633496e-01 1.6137822e-01 2.9200000e+00)
9              	p_rgh          	-2.5378880e+01	(3.4827935e+00 2.5837751e+00 7.0000000e+00)	1.2986410e+00	(6.4359828e+00 3.1622552e+00 6.9282320e+00)
10             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	5.0488490e+00	(3.4816139e+00 2.5843729e+00 3.4619028e-02)
10             	T              	2.9139702e+02	(6.4341335e+00 1.8562522e+00 6.9262739e+00)	3.0281000e+02	(1.6633496e-01 1.6137822e-01 2.9200000e+00)
10             	p_rgh          	-2.5638445e+01	(3.4827935e+00 2.5837751e+00 7.0000000e+00)	1.2956965e+00	(6.4359828e+00 3.1622552e+00 6.9282320e+00)
11             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	5.1267704e+00	(3.4816139e+00 2.5843729e+00 3.4619028e-02)
11             	T              	2.9139893e+02	(6.4341318e+00 1.9937522e+00 6.9262744e+00)	3.0281000e+02	(1.6633496e-01 1.6137822e-01 2.9200000e+00)
11             	p_rgh          	-2.5909117e+01	(3.4827935e+00 2.5837751e+00 7.0000000e+00)	1.2649820e+00	(6.4359828e+00 3.1622552e+00 6.9282320e+00)
12             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	5.1916817e+00	(3.4816139e+00 2.5843729e+00 3.4619028e-02)
12             	T              	2.9140067e+02	(6.4341298e+00 2.2687278e+00 6.9262884e+00)	3.0281000e+02	(1.6633496e-01 1.6137822e-01 2.9200000e+00)
12             	p_rgh          	-2.6134650e+01	(3.4770165e+00 2.5500000e+00 6.9651208e+00)	1.2348033e+00	(6.4359828e+00 3.1622552e+00 6.9282320e+00)
13             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	5.2468760e+00	(3.4816141e+00 2.5843717e+00 6.9653813e+00)
13             	T              	2.9140196e+02	(6.4341411e+00 2.4061860e+00 6.9263207e+00)	3.0281000e+02	(1.6633496e-01 1.6137822e-01 2.9200000e+00)
13             	p_rgh          	-2.6305901e+01	(3.4770165e+00 2.5500000e+00 6.9651208e+00)	1.1994997e+00	(6.4359828e+00 3.1622552e+00 6.9282320e+00)
14             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	5.3022775e+00	(3.4816141e+00 2.5843717e+00 6.9653813e+00)
14             	T              	2.9140311e+02	(6.4341786e+00 2.5436411e+00 6.9264030e+00)	3.0281000e+02	(1.6633496e-01 1.6137822e-01 2.9200000e+00)
14             	p_rgh          	-2.6436076e+01	(3.4770165e+00 2.5500000e+00 6.9651208e+00)	1.1476017e+00	(6.4359828e+00 3.1622552e+00 6.9282320e+00)
15             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	5.3508052e+00	(3.4816141e+00 2.5843717e+00 6.9653813e+00)
15             	T              	2.9140369e+02	(6.4336329e+00 3.0957043e+00 6.9267733e+00)	3.0281000e+02	(1.6633496e-01 1.6137822e-01 2.9200000e+00)
15             	p_rgh          	-2.6533565e+01	(3.4770165e+00 2.5500000e+00 6.9651208e+00)	1.0873193e+00	(1.4866517e+00 9.9649612e-01 1.7333912e+00)
16             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	5.3939639e+00	(3.4816141e+00 2.5843717e+00 6.9653813e+00)
16             	T              	2.9140402e+02	(6.4336329e+00 3.0957043e+00 6.9267733e+00)	3.0281000e+02	(1.6633496e-01 1.6137822e-01 2.9200000e+00)
16             	p_rgh          	-2.6602755e+01	(3.4770165e+00 2.5500000e+00 6.9651208e+00)	1.1089571e+00	(1.4866517e+00 9.9649612e-01 1.7333912e+00)
17             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	5.4329597e+00	(3.4816141e+00 2.5843717e+00 6.9653813e+00)
17             	T              	2.9140481e+02	(6.4336329e+00 3.0957043e+00 6.9267733e+00)	3.0281000e+02	(1.6633496e-01 1.6137822e-01 2.9200000e+00)
17             	p_rgh          	-2.6647971e+01	(3.4770165e+00 2.5500000e+00 6.9651208e+00)	1.1225602e+00	(1.4866517e+00 9.9649612e-01 1.7333912e+00)
18             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	5.4686569e+00	(3.4816141e+00 2.5843717e+00 6.9653813e+00)
18             	T              	2.9140612e+02	(6.4336329e+00 3.0957043e+00 6.9267733e+00)	3.0281000e+02	(1.6633496e-01 1.6137822e-01 2.9200000e+00)
18             	p_rgh          	-2.6671315e+01	(3.4770165e+00 2.5500000e+00 6.9651208e+00)	1.1317581e+00	(1.4866517e+00 9.9649612e-01 1.7333912e+00)
19             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	5.5016583e+00	(3.4816141e+00 2.5843717e+00 6.9653813e+00)
19             	T              	2.9140796e+02	(6.4336329e+00 3.0957043e+00 6.9267733e+00)	3.0281000e+02	(1.6633496e-01 1.6137822e-01 2.9200000e+00)
19             	p_rgh          	-2.6676495e+01	(3.4770165e+00 2.5500000e+00 6.9651208e+00)	1.1390618e+00	(1.4866517e+00 9.9649612e-01 1.7333912e+00)
20             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	5.5323765e+00	(3.4816141e+00 2.5843717e+00 6.9653813e+00)
20             	T              	2.9141029e+02	(6.4336329e+00 3.0957043e+00 6.9267733e+00)	3.0281000e+02	(1.6633496e-01 1.6137822e-01 2.9200000e+00)
20             	p_rgh          	-2.6667816e+01	(3.4770165e+00 2.5500000e+00 6.9651208e+00)	1.1432868e+00	(1.4866517e+00 9.9649612e-01 1.7333912e+00)
21             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	5.5610636e+00	(3.4816141e+00 2.5843717e+00 6.9653813e+00)
21             	T              	2.9141304e+02	(6.4336329e+00 3.0957043e+00 6.9267733e+00)	3.0281000e+02	(1.6633496e-01 1.6137822e-01 2.9200000e+00)
21             	p_rgh          	-2.6648761e+01	(3.4770165e+00 2.5500000e+00 6.9651208e+00)	1.1443527e+00	(1.4866517e+00 9.9649612e-01 1.7333912e+00)
22             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	5.5878375e+00	(3.4816141e+00 2.5843717e+00 6.9653813e+00)
22             	T              	2.9141611e+02	(6.4336329e+00 3.0957043e+00 6.9267733e+00)	3.0281000e+02	(1.6633496e-01 1.6137822e-01 2.9200000e+00)
22             	p_rgh          	-2.6621573e+01	(3.4770165e+00 2.5500000e+00 6.9651208e+00)	1.1448016e+00	(1.4866517e+00 9.9649612e-01 1.7333912e+00)
23             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	5.6127244e+00	(3.4816141e+00 2.5843717e+00 6.9653813e+00)
23             	T              	2.9141938e+02	(6.4336329e+00 3.0957043e+00 6.9267733e+00)	3.0281000e+02	(1.6633496e-01 1.6137822e-01 2.9200000e+00)
23             	p_rgh          	-2.6590634e+01	(3.4770165e+00 2.5500000e+00 6.9651208e+00)	1.1449102e+00	(1.4866517e+00 9.9649612e-01 1.7333912e+00)
24             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	5.6357003e+00	(3.4816141e+00 2.5843717e+00 6.9653813e+00)
24             	T              	2.9142277e+02	(6.4336329e+00 3.0957043e+00 6.9267733e+00)	3.0281000e+02	(1.6633496e-01 1.6137822e-01 2.9200000e+00)
24             	p_rgh          	-2.6558067e+01	(3.4827935e+00 2.5837751e+00 7.0000000e+00)	1.1450720e+00	(1.4866517e+00 9.9649612e-01 1.7333912e+00)
25             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	5.6567311e+00	(3.4816141e+00 2.5843717e+00 6.9653813e+00)
25             	T              	2.9142364e+02	(5.8489515e+00 3.1908259e+00 6.4810923e+00)	3.0281000e+02	(1.6633496e-01 1.6137822e-01 2.9200000e+00)
25             	p_rgh          	-2.6524721e+01	(3.4827935e+00 2.5837751e+00 7.0000000e+00)	1.1458249e+00	(1.4866517e+00 9.9649612e-01 1.7333912e+00)
26             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	5.6758042e+00	(3.4816141e+00 2.5843717e+00 6.9653813e+00)
26             	T              	2.9142456e+02	(5.8489515e+00 3.1908259e+00 6.4810923e+00)	3.0281000e+02	(1.6633496e-01 1.6137822e-01 2.9200000e+00)
26             	p_rgh          	-2.6492718e+01	(3.4816141e+00 2.5843717e+00 6.9653813e+00)	1.1467348e+00	(1.4866517e+00 9.9649612e-01 1.7333912e+00)
27             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	5.6929445e+00	(3.4816141e+00 2.5843717e+00 6.9653813e+00)
27             	T              	2.9142561e+02	(5.8489515e+00 3.1908259e+00 6.4810923e+00)	3.0281000e+02	(1.6633496e-01 1.6137822e-01 2.9200000e+00)
27             	p_rgh          	-2.6463118e+01	(3.4816141e+00 2.5843717e+00 6.9653813e+00)	1.1478718e+00	(1.4866517e+00 9.9649612e-01 1.7333912e+00)
28             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	5.7082183e+00	(3.4816141e+00 2.5843717e+00 6.9653813e+00)
28             	T              	2.9142678e+02	(5.8489515e+00 3.1908259e+00 6.4810923e+00)	3.0281000e+02	(1.6633496e-01 1.6137822e-01 2.9200000e+00)
28             	p_rgh          	-2.6436043e+01	(3.4816141e+00 2.5843717e+00 6.9653813e+00)	1.1503520e+00	(2.7313920e+00 1.2718751e+00 5.3917716e+00)
29             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	5.7217184e+00	(3.4816141e+00 2.5843717e+00 6.9653813e+00)
29             	T              	2.9142806e+02	(5.8489515e+00 3.1908259e+00 6.4810923e+00)	3.0281000e+02	(1.6633496e-01 1.6137822e-01 2.9200000e+00)
29             	p_rgh          	-2.6412072e+01	(3.4816141e+00 2.5843717e+00 6.9653813e+00)	1.2177440e+00	(2.8005276e+00 1.2718736e+00 5.3918346e+00)
30             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	5.7411397e+00	(3.1462046e+00 2.5810929e+00 3.2638061e-02)
30             	T              	2.9142944e+02	(5.8489515e+00 3.1908259e+00 6.4810923e+00)	3.0281000e+02	(1.6633496e-01 1.6137822e-01 2.9200000e+00)
30             	p_rgh          	-2.6390903e+01	(3.4816141e+00 2.5843717e+00 6.9653813e+00)	1.3019726e+00	(2.8005276e+00 1.2718736e+00 5.3918346e+00)
31             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	5.7745049e+00	(3.1462046e+00 2.5810929e+00 3.2638061e-02)
31             	T              	2.9143088e+02	(5.8489515e+00 3.1908259e+00 6.4810923e+00)	3.0281000e+02	(1.6633496e-01 1.6137822e-01 2.9200000e+00)
31             	p_rgh          	-2.6372928e+01	(3.4816141e+00 2.5843717e+00 6.9653813e+00)	1.3883493e+00	(2.8005275e+00 1.2031274e+00 5.3918926e+00)
32             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	5.8064622e+00	(3.1462046e+00 2.5810929e+00 3.2638061e-02)
32             	T              	2.9143239e+02	(5.8489515e+00 3.1908259e+00 6.4810923e+00)	3.0281000e+02	(1.6633496e-01 1.6137822e-01 2.9200000e+00)
32             	p_rgh          	-2.6358083e+01	(3.4816141e+00 2.5843717e+00 6.9653813e+00)	1.4713545e+00	(2.8005275e+00 1.2031274e+00 5.3918926e+00)
33             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	5.8375097e+00	(3.1462046e+00 2.5810929e+00 3.2638061e-02)
33             	T              	2.9143366e+02	(4.7712946e+00 3.1337990e+00 5.8100068e+00)	3.0281000e+02	(1.6633496e-01 1.6137822e-01 2.9200000e+00)
33             	p_rgh          	-2.6346399e+01	(3.4816141e+00 2.5843717e+00 6.9653813e+00)	1.5393321e+00	(2.8005276e+00 1.2718736e+00 5.3918346e+00)
34             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	5.8680602e+00	(3.1462046e+00 2.5810929e+00 3.2638061e-02)
34             	T              	2.9143427e+02	(4.6329888e+00 3.1338256e+00 5.6699821e+00)	3.0281000e+02	(1.6633496e-01 1.6137822e-01 2.9200000e+00)
34             	p_rgh          	-2.6337475e+01	(3.4816141e+00 2.5843717e+00 6.9653813e+00)	1.6509761e+00	(2.8005276e+00 1.2718736e+00 5.3918346e+00)
35             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	5.8984639e+00	(3.1462046e+00 2.5810929e+00 3.2638061e-02)
35             	T              	2.9143475e+02	(4.4946876e+00 3.1337999e+00 5.6699728e+00)	3.0281000e+02	(1.6633496e-01 1.6137822e-01 2.9200000e+00)
35             	p_rgh          	-2.6332222e+01	(3.4816141e+00 2.5843717e+00 6.9653813e+00)	1.7804093e+00	(2.8005276e+00 1.2718736e+00 5.3918346e+00)
36             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	5.9289896e+00	(3.1462046e+00 2.5810929e+00 3.2638061e-02)
36             	T              	2.9143521e+02	(4.4946876e+00 3.1337999e+00 5.6699728e+00)	3.0281001e+02	(3.7944935e-01 1.3424242e+00 2.9529862e+00)
36             	p_rgh          	-2.6331011e+01	(3.4816141e+00 2.5843717e+00 6.9653813e+00)	1.8917789e+00	(2.8005276e+00 1.2718736e+00 5.3918346e+00)
37             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	5.9598681e+00	(3.1462046e+00 2.5810929e+00 3.2638061e-02)
37             	T              	2.9143574e+02	(4.3563864e+00 3.1337739e+00 5.6699614e+00)	3.0281002e+02	(3.7944935e-01 1.3424242e+00 2.9529862e+00)
37             	p_rgh          	-2.6334124e+01	(3.4816141e+00 2.5843717e+00 6.9653813e+00)	1.9922327e+00	(2.8005276e+00 1.2718736e+00 5.3918346e+00)
38             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	5.9913889e+00	(3.1462046e+00 2.5810929e+00 3.2638061e-02)
38             	T              	2.9143627e+02	(4.2180854e+00 3.1337497e+00 5.6699486e+00)	3.0281003e+02	(3.7944935e-01 1.3424242e+00 2.9529862e+00)
38             	p_rgh          	-2.6342123e+01	(3.4816141e+00 2.5843717e+00 6.9653813e+00)	2.3967696e+00	(2.8005276e+00 1.2718736e+00 5.3918346e+00)
39             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	6.0380286e+00	(3.1462046e+00 2.5810929e+00 6.9673619e+00)
39             	T              	2.9143673e+02	(4.0797878e+00 3.1337487e+00 5.5299289e+00)	3.0281004e+02	(3.7944935e-01 1.3424242e+00 2.9529862e+00)
39             	p_rgh          	-2.6355841e+01	(3.4816141e+00 2.5843717e+00 6.9653813e+00)	2.8750429e+00	(2.8005276e+00 1.2718736e+00 5.3918346e+00)
40             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	6.0858856e+00	(3.1462046e+00 2.5810929e+00 6.9673619e+00)
40             	T              	2.9143708e+02	(3.9414833e+00 3.1337132e+00 5.6699195e+00)	3.0281005e+02	(3.7944935e-01 1.3424242e+00 2.9529862e+00)
40             	p_rgh          	-2.6375489e+01	(3.4816141e+00 2.5843717e+00 6.9653813e+00)	3.2173624e+00	(2.8005276e+00 1.2718736e+00 5.3918346e+00)
41             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	6.1346383e+00	(3.1462046e+00 2.5810929e+00 6.9673619e+00)
41             	T              	2.9143751e+02	(3.9414833e+00 3.1337132e+00 5.6699195e+00)	3.0281005e+02	(3.7944935e-01 1.3424242e+00 2.9529862e+00)
41             	p_rgh          	-2.6402393e+01	(3.4816141e+00 2.5843717e+00 6.9653813e+00)	3.3746147e+00	(2.8005276e+00 1.2718736e+00 5.3918346e+00)
42             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	6.1846606e+00	(3.1462046e+00 2.5810929e+00 6.9673619e+00)
42             	T              	2.9143806e+02	(3.9414833e+00 3.1337132e+00 5.6699195e+00)	3.0281006e+02	(3.7944935e-01 1.3424242e+00 2.9529862e+00)
42             	p_rgh          	-2.6437483e+01	(3.4816141e+00 2.5843717e+00 6.9653813e+00)	3.4110357e+00	(2.8005276e+00 1.2718736e+00 5.3918346e+00)
43             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	6.2363137e+00	(3.1462046e+00 2.5810929e+00 6.9673619e+00)
43             	T              	2.9143879e+02	(3.9414833e+00 3.1337132e+00 5.6699195e+00)	3.0281006e+02	(3.7944935e-01 1.3424242e+00 2.9529862e+00)
43             	p_rgh          	-2.6480762e+01	(3.4816141e+00 2.5843717e+00 6.9653813e+00)	3.4556879e+00	(2.8005276e+00 1.2718736e+00 5.3918346e+00)
44             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	6.2900324e+00	(3.1462046e+00 2.5810929e+00 6.9673619e+00)
44             	T              	2.9143991e+02	(3.9414833e+00 3.1337132e+00 5.6699195e+00)	3.0281006e+02	(3.7944935e-01 1.3424242e+00 2.9529862e+00)
44             	p_rgh          	-2.6532819e+01	(3.4816141e+00 2.5843717e+00 6.9653813e+00)	3.5768765e+00	(2.8005276e+00 1.2718736e+00 5.3918346e+00)
45             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	6.3463567e+00	(3.1462046e+00 2.5810929e+00 6.9673619e+00)
45             	T              	2.9144114e+02	(4.0797842e+00 3.1337293e+00 5.6699344e+00)	3.0281007e+02	(3.7944935e-01 1.3424242e+00 2.9529862e+00)
45             	p_rgh          	-2.6594803e+01	(3.4816141e+00 2.5843717e+00 6.9653813e+00)	3.7531969e+00	(2.8005276e+00 1.2718736e+00 5.3918346e+00)
46             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	6.4059101e+00	(3.1462046e+00 2.5810929e+00 6.9673619e+00)
46             	T              	2.9144232e+02	(3.9414763e+00 3.1336748e+00 5.8099385e+00)	3.0281007e+02	(3.7944935e-01 1.3424242e+00 2.9529862e+00)
46             	p_rgh          	-2.6666813e+01	(3.4816141e+00 2.5843717e+00 6.9653813e+00)	3.9907852e+00	(2.8005276e+00 1.2718736e+00 5.3918346e+00)
47             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	6.4693612e+00	(3.1462046e+00 2.5810929e+00 6.9673619e+00)
47             	T              	2.9144362e+02	(4.0797808e+00 3.1336888e+00 5.8099547e+00)	3.0281007e+02	(3.7944935e-01 1.3424242e+00 2.9529862e+00)
47             	p_rgh          	-2.6749080e+01	(3.4816141e+00 2.5843717e+00 6.9653813e+00)	4.1764120e+00	(2.8005276e+00 1.2718736e+00 5.3918346e+00)
48             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	6.5374211e+00	(3.1462046e+00 2.5810929e+00 6.9673619e+00)
48             	T              	2.9144468e+02	(3.0079692e+00 2.6462954e+00 6.9669719e+00)	3.0281007e+02	(3.7944935e-01 1.3424242e+00 2.9529862e+00)
48             	p_rgh          	-2.6841468e+01	(3.4816141e+00 2.5843717e+00 6.9653813e+00)	4.2362221e+00	(2.8005276e+00 1.2718736e+00 5.3918346e+00)
49             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	6.6108812e+00	(3.1462046e+00 2.5810929e+00 6.9673619e+00)
49             	T              	2.9144435e+02	(3.0079692e+00 2.6462954e+00 6.9669719e+00)	3.0281007e+02	(3.7944935e-01 1.3424242e+00 2.9529862e+00)
49             	p_rgh          	-2.6943699e+01	(3.4816141e+00 2.5843717e+00 6.9653813e+00)	4.1406124e+00	(2.8005276e+00 1.2718736e+00 5.3918346e+00)
50             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	6.6905827e+00	(3.1462046e+00 2.5810929e+00 6.9673619e+00)
50             	T              	2.9144402e+02	(3.0079692e+00 2.6462954e+00 6.9669719e+00)	3.0281007e+02	(3.7944935e-01 1.3424242e+00 2.9529862e+00)
50             	p_rgh          	-2.7054934e+01	(3.4816141e+00 2.5843717e+00 6.9653813e+00)	3.9548282e+00	(2.8005276e+00 1.2718736e+00 5.3918346e+00)
51             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	6.7772846e+00	(3.1462046e+00 2.5810929e+00 6.9673619e+00)
51             	T              	2.9144371e+02	(3.0079692e+00 2.6462954e+00 6.9669719e+00)	3.0281007e+02	(3.7944935e-01 1.3424242e+00 2.9529862e+00)
51             	p_rgh          	-2.7173321e+01	(3.4816141e+00 2.5843717e+00 6.9653813e+00)	3.7041525e+00	(2.8005276e+00 1.2718736e+00 5.3918346e+00)
52             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	6.8741965e+00	(3.0771046e+00 2.5810894e+00 6.9673570e+00)
52             	T              	2.9144336e+02	(3.0771009e+00 2.6462988e+00 6.9669740e+00)	3.0281007e+02	(3.7944935e-01 1.3424242e+00 2.9529862e+00)
52             	p_rgh          	-2.7296694e+01	(3.4816141e+00 2.5843717e+00 6.9653813e+00)	3.3654203e+00	(2.8005276e+00 1.2718736e+00 5.3918346e+00)
53             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	6.9901959e+00	(3.0771046e+00 2.5810894e+00 6.9673570e+00)
53             	T              	2.9144299e+02	(3.0771009e+00 2.6462988e+00 6.9669740e+00)	3.0281007e+02	(3.7944935e-01 1.3424242e+00 2.9529862e+00)
53             	p_rgh          	-2.7424702e+01	(3.4816141e+00 2.5843717e+00 6.9653813e+00)	3.4419735e+00	(2.8005248e+00 1.3406753e+00 5.3916656e+00)
54             	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	7.1177003e+00	(3.0771046e+00 2.5810894e+00 6.9673570e+00)
54             	T              	2.9144263e+02	(3.0771009e+00 2.6462988e+00 6.9669740e+00)	3.0281007e+02	(3.7944935e-01 1.3424242e+00 2.9529862e+00)
54             	p_rgh          	-2.7556015e+01	(3.4816141e+00 2.5843717e+00 6.9653813e+00)	3.5752593e+00	(2.8005248e+00 1.3406753e+00 5.3916656e+00)
