======================================================================
Phase 3 RCWA | Circle pillars | NumBasis=35
  Ly= 325 sep= 275: mT=0.397 mR=0.131 minCE=0.132 score=0.01435
  Ly= 325 sep= 300: mT=0.384 mR=0.363 minCE=0.127 score=0.01572
  Ly= 350 sep=   0: mT=0.183 mR=0.214 minCE=0.024 score=0.05473
  Ly= 350 sep=  25: mT=0.028 mR=0.409 minCE=0.001 score=0.06806
  Ly= 350 sep=  50: mT=0.065 mR=0.219 minCE=0.009 score=0.06368
  Ly= 350 sep=  75: mT=0.030 mR=0.124 minCE=0.000 score=0.06846
  Ly= 350 sep= 100: mT=0.009 mR=0.210 minCE=0.000 score=0.06852
  Ly= 350 sep= 125: mT=0.219 mR=0.482 minCE=0.024 score=0.05452
  Ly= 350 sep= 150: mT=0.133 mR=0.579 minCE=0.061 score=0.03869
  Ly= 350 sep= 175: mT=0.215 mR=0.589 minCE=0.122 score=0.01753
  Ly= 350 sep= 200: mT=0.311 mR=0.573 minCE=0.185 score=0.00447
  Ly= 350 sep= 225: mT=0.706 mR=0.346 minCE=0.523 score=0.08335
  Ly= 350 sep= 250: mT=0.818 mR=0.185 minCE=0.668 score=0.19370
  Ly= 350 sep= 275: mT=0.894 mR=0.121 minCE=0.785 score=0.31642
  Ly= 350 sep= 300: mT=0.652 mR=0.295 minCE=0.403 score=0.02823
  Ly= 375 sep=   0: mT=0.074 mR=0.182 minCE=0.016 score=0.06023
  Ly= 375 sep=  25: mT=0.108 mR=0.205 minCE=0.024 score=0.05594
  Ly= 375 sep=  50: mT=0.178 mR=0.077 minCE=0.036 score=0.05009
  Ly= 375 sep=  75: mT=0.081 mR=0.048 minCE=0.004 score=0.06637
  Ly= 375 sep= 100: mT=0.013 mR=0.151 minCE=0.001 score=0.06832
  Ly= 375 sep= 125: mT=0.017 mR=0.278 minCE=0.001 score=0.06817
  Ly= 375 sep= 150: mT=0.085 mR=0.321 minCE=0.024 score=0.05546
  Ly= 375 sep= 175: mT=0.210 mR=0.323 minCE=0.090 score=0.02735
  Ly= 375 sep= 200: mT=0.381 mR=0.318 minCE=0.207 score=0.00188
  Ly= 375 sep= 225: mT=0.566 mR=0.247 minCE=0.345 score=0.01079
  Ly= 375 sep= 250: mT=0.691 mR=0.115 minCE=0.457 score=0.04902
  Ly= 375 sep= 275: mT=0.639 mR=0.038 minCE=0.389 score=0.02192
  Ly= 375 sep= 300: mT=0.317 mR=0.118 minCE=0.103 score=0.02323
  Ly= 400 sep=   0: mT=0.070 mR=0.243 minCE=0.017 score=0.05937
  Ly= 400 sep=  25: mT=0.136 mR=0.232 minCE=0.033 score=0.05160
  Ly= 400 sep=  50: mT=0.209 mR=0.090 minCE=0.049 score=0.04445
  Ly= 400 sep=  75: mT=0.095 mR=0.030 minCE=0.007 score=0.06458
  Ly= 400 sep= 100: mT=0.016 mR=0.122 minCE=0.001 score=0.06804
  Ly= 400 sep= 125: mT=0.019 mR=0.268 minCE=0.002 score=0.06761
  Ly= 400 sep= 150: mT=0.086 mR=0.350 minCE=0.028 score=0.05379
  Ly= 400 sep= 175: mT=0.213 mR=0.360 minCE=0.102 score=0.02354
  Ly= 400 sep= 200: mT=0.388 mR=0.337 minCE=0.220 score=0.00093
  Ly= 400 sep= 225: mT=0.571 mR=0.229 minCE=0.346 score=0.01114
  Ly= 400 sep= 250: mT=0.683 mR=0.086 minCE=0.441 score=0.04191
  Ly= 400 sep= 275: mT=0.597 mR=0.028 minCE=0.331 score=0.00785
  Ly= 400 sep= 300: mT=0.302 mR=0.136 minCE=0.097 score=0.02552

  Zone 2 BEST: Ly=250 nm sep=25 nm score=0.00002
  Zone-angles eta_T = ['0.316', '0.332', '0.331']
  Zone-angles theta_d = ['48.6', '50.6', '52.7']
  eta_R = ['0.659', '0.747', '0.691', '0.628', '0.586', '0.572', '0.579', '0.600', '0.623']
  Wrote zone2_results.json

============================================================
Zone 3 | 98 configs | circle pillars | NumBasis=35
============================================================
  Ly= 300 sep=   0: mT=0.141 mR=0.215 minCE=0.032 score=0.05142
  Ly= 300 sep=  25: mT=0.141 mR=0.215 minCE=0.032 score=0.05142
  Ly= 300 sep=  50: mT=0.121 mR=0.411 minCE=0.047 score=0.04390
  Ly= 300 sep=  75: mT=0.114 mR=0.150 minCE=0.000 score=0.06633
  Ly= 300 sep= 100: mT=0.312 mR=0.450 minCE=0.155 score=0.00933
  Ly= 300 sep= 125: mT=0.123 mR=0.579 minCE=0.070 score=0.03541
  Ly= 300 sep= 150: mT=0.016 mR=0.690 minCE=0.011 score=0.06265
  Ly= 300 sep= 175: mT=0.021 mR=0.737 minCE=0.011 score=0.06254
  Ly= 300 sep= 200: mT=0.106 mR=0.700 minCE=0.065 score=0.03699
  Ly= 300 sep= 225: mT=0.242 mR=0.594 minCE=0.144 score=0.01189
  Ly= 300 sep= 250: mT=0.335 mR=0.469 minCE=0.211 score=0.00161
  Ly= 300 sep= 275: mT=0.316 mR=0.185 minCE=0.104 score=0.02218
  Ly= 300 sep= 300: mT=0.160 mR=0.375 minCE=0.060 score=0.03825
  Ly= 300 sep= 325: mT=0.141 mR=0.215 minCE=0.032 score=0.05142
  Ly= 350 sep=   0: mT=0.211 mR=0.310 minCE=0.047 score=0.04408
  Ly= 350 sep=  25: mT=0.316 mR=0.599 minCE=0.198 score=0.00286
  Ly= 350 sep=  50: mT=0.189 mR=0.419 minCE=0.056 score=0.03946
  Ly= 350 sep=  75: mT=0.212 mR=0.188 minCE=0.040 score=0.04676
  Ly= 350 sep= 100: mT=0.187 mR=0.336 minCE=0.053 score=0.04099
  Ly= 350 sep= 125: mT=0.202 mR=0.372 minCE=0.073 score=0.03389
  Ly= 350 sep= 150: mT=0.002 mR=0.287 minCE=0.000 score=0.06854
  Ly= 350 sep= 175: mT=0.017 mR=0.444 minCE=0.005 score=0.06560
  Ly= 350 sep= 200: mT=0.061 mR=0.327 minCE=0.015 score=0.06005
  Ly= 350 sep= 225: mT=0.268 mR=0.318 minCE=0.034 score=0.04796
  Ly= 350 sep= 250: mT=0.424 mR=0.358 minCE=0.251 score=0.00009
  Ly= 350 sep= 275: mT=0.515 mR=0.196 minCE=0.248 score=0.00076
  Ly= 350 sep= 300: mT=0.268 mR=0.363 minCE=0.078 score=0.03058
  Ly= 350 sep= 325: mT=0.027 mR=0.621 minCE=0.008 score=0.06419
  Ly= 400 sep=   0: mT=0.015 mR=0.269 minCE=0.001 score=0.06831
  Ly= 400 sep=  25: mT=0.031 mR=0.312 minCE=0.006 score=0.06552
  Ly= 400 sep=  50: mT=0.132 mR=0.169 minCE=0.037 score=0.04991
  Ly= 400 sep=  75: mT=0.208 mR=0.060 minCE=0.035 score=0.04973
  Ly= 400 sep= 100: mT=0.196 mR=0.257 minCE=0.062 score=0.03831
  Ly= 400 sep= 125: mT=0.136 mR=0.470 minCE=0.066 score=0.03730
  Ly= 400 sep= 150: mT=0.047 mR=0.459 minCE=0.014 score=0.06079
  Ly= 400 sep= 175: mT=0.031 mR=0.420 minCE=0.010 score=0.06312
  Ly= 400 sep= 200: mT=0.074 mR=0.451 minCE=0.029 score=0.05376
  Ly= 400 sep= 225: mT=0.178 mR=0.482 minCE=0.093 score=0.02708
  Ly= 400 sep= 250: mT=0.314 mR=0.288 minCE=0.152 score=0.01033
  Ly= 400 sep= 275: mT=0.343 mR=0.072 minCE=0.096 score=0.02479
  Ly= 400 sep= 300: mT=0.154 mR=0.141 minCE=0.020 score=0.05712
  Ly= 400 sep= 325: mT=0.062 mR=0.308 minCE=0.004 score=0.06577
  Ly= 453 sep=   0: mT=0.004 mR=0.332 minCE=0.000 score=0.06865
  Ly= 453 sep=  25: mT=0.004 mR=0.286 minCE=0.001 score=0.06832
  Ly= 453 sep=  50: mT=0.044 mR=0.174 minCE=0.012 score=0.06219
  Ly= 453 sep=  75: mT=0.092 mR=0.087 minCE=0.012 score=0.06184
  Ly= 453 sep= 100: mT=0.200 mR=0.245 minCE=0.068 score=0.03618
  Ly= 453 sep= 125: mT=0.205 mR=0.559 minCE=0.110 score=0.02122
  Ly= 453 sep= 150: mT=0.114 mR=0.717 minCE=0.062 score=0.03826
  Ly= 453 sep= 175: mT=0.082 mR=0.758 minCE=0.050 score=0.04332
  Ly= 453 sep= 200: mT=0.113 mR=0.727 minCE=0.077 score=0.03257
  Ly= 453 sep= 225: mT=0.151 mR=0.588 minCE=0.083 score=0.03025
  Ly= 453 sep= 250: mT=0.226 mR=0.284 minCE=0.088 score=0.02868
  Ly= 453 sep= 275: mT=0.331 mR=0.087 minCE=0.120 score=0.01835
  Ly= 453 sep= 300: mT=0.256 mR=0.159 minCE=0.065 score=0.03626
  Ly= 453 sep= 325: mT=0.112 mR=0.276 minCE=0.013 score=0.06049
  Ly= 500 sep=   0: mT=0.011 mR=0.196 minCE=0.001 score=0.06842
  Ly= 500 sep=  25: mT=0.002 mR=0.133 minCE=0.000 score=0.06868
  Ly= 500 sep=  50: mT=0.038 mR=0.080 minCE=0.003 score=0.06717
  Ly= 500 sep=  75: mT=0.182 mR=0.141 minCE=0.043 score=0.04671
  Ly= 500 sep= 100: mT=0.125 mR=0.307 minCE=0.039 score=0.04834
  Ly= 500 sep= 125: mT=0.058 mR=0.438 minCE=0.022 score=0.05667
  Ly= 500 sep= 150: mT=0.050 mR=0.498 minCE=0.018 score=0.05873
  Ly= 500 sep= 175: mT=0.073 mR=0.514 minCE=0.021 score=0.05654
  Ly= 500 sep= 200: mT=0.135 mR=0.501 minCE=0.047 score=0.04368
  Ly= 500 sep= 225: mT=0.215 mR=0.449 minCE=0.085 score=0.02855
  Ly= 500 sep= 250: mT=0.292 mR=0.326 minCE=0.109 score=0.02070
  Ly= 500 sep= 275: mT=0.405 mR=0.159 minCE=0.148 score=0.01068
  Ly= 500 sep= 300: mT=0.370 mR=0.078 minCE=0.102 score=0.02266
  Ly= 500 sep= 325: mT=0.134 mR=0.125 minCE=0.016 score=0.05916
  Ly= 550 sep=   0: mT=0.009 mR=0.042 minCE=0.000 score=0.06862
  Ly= 550 sep=  25: mT=0.003 mR=0.056 minCE=0.000 score=0.06863
  Ly= 550 sep=  50: mT=0.077 mR=0.077 minCE=0.006 score=0.06505
  Ly= 550 sep=  75: mT=0.203 mR=0.149 minCE=0.046 score=0.04487
  Ly= 550 sep= 100: mT=0.180 mR=0.313 minCE=0.074 score=0.03354
  Ly= 550 sep= 125: mT=0.097 mR=0.437 minCE=0.053 score=0.04253
  Ly= 550 sep= 150: mT=0.052 mR=0.493 minCE=0.030 score=0.05305
  Ly= 550 sep= 175: mT=0.051 mR=0.507 minCE=0.027 score=0.05454
  Ly= 550 sep= 200: mT=0.090 mR=0.496 minCE=0.048 score=0.04446
  Ly= 550 sep= 225: mT=0.155 mR=0.447 minCE=0.082 score=0.03046
  Ly= 550 sep= 250: mT=0.229 mR=0.332 minCE=0.105 score=0.02257
  Ly= 550 sep= 275: mT=0.301 mR=0.167 minCE=0.106 score=0.02200
  Ly= 550 sep= 300: mT=0.257 mR=0.078 minCE=0.060 score=0.03874
  Ly= 550 sep= 325: mT=0.121 mR=0.060 minCE=0.012 score=0.06167
  Ly= 600 sep=   0: mT=0.033 mR=0.013 minCE=0.001 score=0.06833
  Ly= 600 sep=  25: mT=0.008 mR=0.015 minCE=0.000 score=0.06872
  Ly= 600 sep=  50: mT=0.023 mR=0.034 minCE=0.001 score=0.06805
  Ly= 600 sep=  75: mT=0.128 mR=0.138 minCE=0.031 score=0.05250
  Ly= 600 sep= 100: mT=0.146 mR=0.288 minCE=0.065 score=0.03738
  Ly= 600 sep= 125: mT=0.092 mR=0.397 minCE=0.052 score=0.04313
  Ly= 600 sep= 150: mT=0.059 mR=0.445 minCE=0.034 score=0.05127
  Ly= 600 sep= 175: mT=0.057 mR=0.459 minCE=0.031 score=0.05252
  Ly= 600 sep= 200: mT=0.082 mR=0.449 minCE=0.047 score=0.04513
  Ly= 600 sep= 225: mT=0.124 mR=0.405 minCE=0.071 score=0.03491
  Ly= 600 sep= 250: mT=0.162 mR=0.304 minCE=0.079 score=0.03182
  Ly= 600 sep= 275: mT=0.185 mR=0.156 minCE=0.060 score=0.03916
  Ly= 600 sep= 300: mT=0.199 mR=0.041 minCE=0.040 score=0.04826
  Ly= 600 sep= 325: mT=0.118 mR=0.017 minCE=0.011 score=0.06256

  Zone 3 BEST: Ly=350 nm sep=250 nm score=0.00009
  Zone-angles eta_T = ['0.463', '0.447', '0.416', '0.369']
  Zone-angles theta_d = ['55.0', '57.3', '59.8', '62.5']
  eta_R = ['0.302', '0.326', '0.283', '0.278', '0.308', '0.360', '0.414', '0.461', '0.492']
  Wrote zone3_results.json

============================================================
MFE CALCULATION
============================================================
  theta_air=-10.0 z=1 eta_T=0.685 td=41.2° eta_R=0.056 CE=0.482
  theta_air= -8.0 z=1 eta_T=0.653 td=42.9° eta_R=0.045 CE=0.436
  theta_air= -6.0 z=1 eta_T=0.586 td=44.8° eta_R=0.032 CE=0.351
  theta_air= -4.0 z=1 eta_T=0.486 td=46.6° eta_R=0.021 CE=0.242
  theta_air= -2.0 z=2 eta_T=0.316 td=48.6° eta_R=0.708 CE=0.253
  theta_air= +0.0 z=2 eta_T=0.332 td=50.6° eta_R=0.664 CE=0.257
  theta_air= +2.0 z=2 eta_T=0.331 td=52.7° eta_R=0.616 CE=0.246
  theta_air= +4.0 z=3 eta_T=0.463 td=55.0° eta_R=0.322 CE=0.295
  theta_air= +6.0 z=3 eta_T=0.447 td=57.3° eta_R=0.383 CE=0.295
  theta_air= +8.0 z=3 eta_T=0.416 td=59.8° eta_R=0.449 CE=0.282
  theta_air=+10.0 z=3 eta_T=0.369 td=62.5° eta_R=0.492 CE=0.251

============================================================
MFE = 0.2418 (24.18%)
Meets >= 25% target: False
Coupling per angle: ['0.482', '0.436', '0.351', '0.242', '0.253', '0.257', '0.246', '0.295', '0.295', '0.282', '0.251']
Best geometries: {1: {'Ly_nm': 700, 'sep_nm': 100}, 2: {'Ly_nm': 250, 'sep_nm': 25}, 3: {'Ly_nm': 350, 'sep_nm': 250}}
============================================================
Wrote mfe_result.json
SIMULATION COMPLETE
