T,V
291.4506,0.002618741
291.4505,0.0003363456
291.4505,0.0003364167
291.45,0.0003117078
291.4503,0.002453807
291.45,0.0003127191
291.4501,0.0003115105
291.4501,0.0003121394
291.4505,0.002657783
291.45,0.0003405453
291.45,0.0003406175
291.45,0.002683187
291.4502,0.002642095
291.45,0.0003256049
291.45,0.000328294
291.4502,0.002669523
291.45,0.0003314841
291.45,0.0003135477
291.45,0.002616391
291.45,0.0003079812
291.45,0.002395934
291.45,0.0003083901
291.45,0.0003071725
291.45,0.0003073459
291.4501,0.0002434657
291.45,0.0002423886
291.45,0.0002863218
291.45,0.000286444
291.45,0.002528905
291.4501,0.002535311
291.4502,0.002539785
291.4504,0.002798291
291.4504,0.003184932
291.4505,0.003132144
291.4505,0.003034883
291.4506,0.002796496
291.4506,0.002724177
291.4505,0.002707784
291.4503,0.002709969
291.4502,0.002695506
291.4503,0.002548561
291.4503,0.002725563
291.4503,0.002952046
291.4504,0.002963312
291.4505,0.002891924
291.4505,0.002780577
291.4505,0.002729226
291.4504,0.002714191
291.4503,0.002719938
291.4502,0.00273423
291.4503,0.002735048
291.4503,0.002503462
291.4503,0.002405171
291.4503,0.002616073
291.4503,0.002617109
291.4503,0.002601104
291.4503,0.002578763
291.4503,0.002566459
291.4503,0.002564595
291.4503,0.002571855
291.4503,0.002585815
291.4503,0.002604215
291.4503,0.002570956
291.4503,0.002434299
291.4504,0.002635859
291.4504,0.003123553
291.4504,0.002728532
291.4505,0.003231441
291.4505,0.0001707264
291.4505,0.002425825
291.4505,0.0001706964
291.4505,0.0003090895
291.4505,0.0003089398
291.4504,0.002662825
291.4505,0.002618408
291.4505,0.0003365141
291.4504,0.0003365974
291.45,0.0003132893
291.4503,0.00245899
291.45,0.0003137382
291.4501,0.0003131417
291.45,0.0003132616
291.4505,0.002653881
291.45,0.0003406756
291.45,0.0003408243
291.45,0.0003272423
291.45,0.002626882
291.4502,0.002627991
291.45,0.0003281532
291.45,0.0003304574
291.45,0.0003313777
291.4503,0.002678739
291.45,0.0003141723
291.45,0.0003144473
291.45,0.002640964
291.45,0.002639039
291.4501,0.002660226
291.45,0.0003257648
291.45,0.0003288816
291.4501,0.002679216
291.45,0.0003311194
291.45,0.0003134984
291.45,0.00261752
291.45,0.0003087617
291.45,0.002400355
291.45,0.0003090029
291.45,0.0003077572
291.45,0.0003078782
291.45,0.0002418452
291.45,0.000241652
291.45,0.0002866212
291.45,0.0002867476
291.45,0.002532108
291.45,0.0003316887
291.45,0.00032621
291.45,0.0003292218
291.4501,0.002536921
291.4502,0.002540204
291.4503,0.002546043
291.4503,0.002799232
291.4504,0.003185147
291.4504,0.00313133
291.4505,0.003033113
291.4506,0.002793696
291.4506,0.002719797
291.4505,0.002700164
291.4504,0.002707639
291.4502,0.002715969
291.4502,0.002706836
291.4503,0.002447626
291.4503,0.002724922
291.4503,0.002951825
291.4504,0.002962868
291.4504,0.002890797
291.4504,0.002777915
291.4504,0.002723676
291.4504,0.002704271
291.4503,0.002705749
291.4503,0.00271956
291.4502,0.00274032
291.4503,0.002882441
291.4503,0.002738689
291.4503,0.002402792
291.4503,0.002615184
291.4502,0.002616786
291.4503,0.002600748
291.4503,0.002577811
291.4503,0.002563825
291.4503,0.00255849
291.4503,0.002560631
291.4502,0.002569909
291.4502,0.002585759
291.4503,0.002492028
291.4503,0.002801473
291.4503,0.0002404527
291.4503,0.0002865807
291.4503,0.0003127795
291.4503,0.0003290104
291.4503,0.002638989
291.4504,0.003124185
291.4504,0.00272827
291.4504,0.003230775
291.4504,0.0001707118
291.4505,0.002425605
291.4504,0.0001707026
291.4505,0.0003090424
291.4504,0.0003089814
291.4504,0.002665752
291.4505,0.002617529
291.4504,0.0003366605
291.4504,0.0003367028
291.45,0.0003140371
291.4503,0.002463852
291.45,0.0003142542
291.45,0.0003138355
291.45,0.0003138529
291.4505,0.002649859
291.45,0.0003409389
291.45,0.0003410411
291.45,0.0003288577
291.45,0.002642957
291.4502,0.002618478
291.45,0.0003292347
291.45,0.0003321371
291.45,0.0003324409
291.4504,0.00267739
291.45,0.0003146668
291.45,0.0003148322
291.45,0.0003274799
291.45,0.002552023
291.45,0.002619675
291.4501,0.00265793
291.45,0.0003284806
291.45,0.0003309855
291.45,0.0003319744
291.4502,0.002692805
291.45,0.0003143321
291.45,0.0003147315
291.45,0.002646383
291.45,0.00264043
291.45,0.002657523
291.4501,0.002672367
291.4502,0.00269277
291.45,0.0003142157
291.45,0.002616831
291.45,0.0003091363
291.45,0.002401958
291.45,0.0003091747
291.45,0.0003080536
291.45,0.0003080894
291.45,0.0002416401
291.45,0.0002416674
291.45,0.0002868352
291.45,0.0002868655
291.45,0.0003321924
291.45,0.0003266616
291.45,0.002534687
291.45,0.0003324858
291.45,0.0003269594
291.45,0.0003296629
291.45,0.000329888
291.4501,0.002538946
291.45,0.0003280073
291.45,0.0003313978
291.4502,0.002541708
291.4503,0.002546295
291.4503,0.002445021
291.4503,0.002800133
291.4503,0.00318625
291.4504,0.003131425
291.4504,0.003032659
291.4505,0.002792318
291.4505,0.002716561
291.4505,0.002693597
291.4504,0.002697658
291.4503,0.002712907
291.4502,0.002726723
291.4502,0.002806196
291.4503,0.002714306
291.4503,0.002721947
291.4503,0.002950522
291.4503,0.002962374
291.4504,0.002890432
291.4504,0.002776928
291.4504,0.002720947
291.4504,0.002698215
291.4503,0.002695099
291.4503,0.002705089
291.4502,0.002725161
291.4502,0.002830778
291.4503,0.0003098248
291.4503,0.0003321915
291.4503,0.0003322966
291.4503,0.0003496332
291.4502,0.0002879401
291.4503,0.0003078322
291.4503,0.00032849
291.4502,0.0002899387
291.4503,0.0003343138
291.4503,0.0003171046
291.4503,0.002397439
291.4502,0.002612501
291.4502,0.002615817
291.4502,0.002600438
291.4502,0.00257751
291.4502,0.002562907
291.4502,0.002555824
291.4502,0.0025545
291.4502,0.002559009
291.4502,0.002570771
291.4502,0.002474563
291.4502,0.002749234
291.4502,0.0003062425
291.4503,0.0003293259
291.4502,0.0003366716
291.4502,0.0003006045
291.4502,0.0003195169
291.4503,0.002645004
291.4503,0.003126254
291.4504,0.002728539
291.4504,0.003230899
291.4504,0.0001707091
291.4504,0.002425955
291.4504,0.0001707074
291.4504,0.0003090391
291.4504,0.0003090291
291.4504,0.002667508
291.4504,0.002616996
291.4504,0.0003367349
291.4504,0.0003367593
291.45,0.000314407
291.4503,0.00246674
291.45,0.000314516
291.45,0.0003141808
291.45,0.0003141833
291.4504,0.002646441
291.45,0.0003411066
291.45,0.0003411576
291.45,0.0003295736
291.45,0.002654298
291.4502,0.002616768
291.45,0.0003297473
291.45,0.0003328628
291.45,0.0003329961
291.4504,0.002669036
291.45,0.000314967
291.45,0.0003150557
291.45,0.0003292079
291.45,0.002570766
291.45,0.00260932
291.4501,0.002649556
291.45,0.0003296073
291.45,0.0003327401
291.45,0.0003330775
291.4502,0.002693319
291.45,0.0003149974
291.45,0.0003151765
291.45,0.00255881
291.45,0.002619506
291.45,0.0003324347
291.45,0.002649118
291.4501,0.002677041
291.45,0.0003290653
291.4501,0.002707398
291.45,0.0003151643
291.45,0.0003156181
291.45,0.002649123
291.45,0.002643053
291.45,0.002657795
291.4501,0.002670033
291.4501,0.002687016
291.4502,0.002792694
291.45,0.0003147959
291.45,0.002614262
291.45,0.0003091671
291.45,0.002402252
291.45,0.0003090925
291.45,0.0003081266
291.45,0.0003081097
291.45,0.0002416941
291.45,0.0002416871
291.45,0.0002868674
291.45,0.0002868277
291.45,0.0003326338
291.45,0.0003271252
291.4501,0.002535974
291.45,0.0003326757
291.45,0.000327193
291.45,0.0003300996
291.45,0.000330185
291.45,0.0003285077
291.4501,0.00254045
291.45,0.0003151293
291.45,0.0003288373
291.45,0.0003318793
291.45,0.000332154
291.4503,0.002543146
291.4503,0.002547283
291.4503,0.002493543
291.4503,0.002710457
291.4503,0.002798759
291.4503,0.003187752
291.4503,0.00313207
291.4504,0.003033083
291.4505,0.002792255
291.4505,0.002715133
291.4505,0.002689328
291.4504,0.002689442
291.4503,0.002702217
291.4502,0.002721521
291.4501,0.002722646
291.4503,0.0003295303
291.4503,0.0003291016
291.4502,0.0003473363
291.4502,0.0003460749
291.4502,0.000290699
291.4503,0.0003268241
291.4503,0.0003256008
291.4502,0.0002913414
291.4503,0.0003154751
291.4503,0.0003143575
291.4503,0.002713586
291.4502,0.002945241
291.4503,0.002960504
291.4503,0.002890051
291.4504,0.002776803
291.4504,0.00272013
291.4504,0.002695356
291.4503,0.002688695
291.4503,0.002694441
291.4502,0.002711369
291.4502,0.002814436
291.4503,0.0003322437
291.4502,0.0003484322
291.4503,0.000330479
291.4502,0.0003469272
291.4503,0.0003443144
291.4502,0.0003593099
291.4502,0.000351042
291.4503,0.002388833
291.4502,0.002605946
291.4502,0.002613069
291.4502,0.002599575
291.4502,0.002577303
291.4502,0.00256273
291.4502,0.002554978
291.4502,0.002551856
291.4502,0.002553098
291.4502,0.002560856
291.4502,0.002462075
291.4502,0.002728404
291.4502,0.0002970897
291.4503,0.0003279585
291.4502,0.000326618
291.4502,0.000317109
291.4502,0.0002940659
291.4502,0.0003155817
291.4502,0.0003518824
291.4503,0.002654033
291.4503,0.003130899
291.4503,0.002729319
291.4504,0.003231742
291.4504,0.0001707106
291.4504,0.002427075
291.4504,0.0001707129
291.4504,0.0003090638
291.4504,0.0003090906
291.4503,0.002669032
291.4504,0.002617469
291.4504,0.0003367787
291.4504,0.0003367993
291.45,0.0003145996
291.4503,0.002468764
291.45,0.0003146672
291.45,0.0003143718
291.45,0.0003143958
291.4504,0.002644503
291.45,0.000341191
291.45,0.000341219
291.45,0.0003299174
291.45,0.002661043
291.4502,0.002615803
291.45,0.0003300026
291.45,0.0003332385
291.45,0.0003333071
291.4504,0.00266228
291.45,0.0003151214
291.45,0.0003151628
291.45,0.0003299375
291.45,0.002583888
291.45,0.002609534
291.4501,0.002639452
291.45,0.0003301149
291.45,0.0003334953
291.45,0.0003336432
291.4502,0.002684666
291.45,0.0003153067
291.45,0.000315391
291.45,0.0003298146
291.45,0.002579011
291.45,0.002609316
291.45,0.000333221
291.45,0.00033358
291.45,0.002636316
291.4501,0.002672796
291.45,0.0003302257
291.4501,0.002703567
291.45,0.0003158992
291.45,0.0003160785
291.45,0.002562759
291.45,0.002622085
291.45,0.0003329403
291.45,0.0003332527
291.45,0.002646646
291.45,0.002669251
291.4501,0.002694842
291.45,0.0003295954
291.4501,0.002702377
291.45,0.0003158013
291.45,0.0003162749
291.45,0.002650341
291.45,0.002644969
291.45,0.002658964
291.4501,0.002669758
291.4501,0.002684798
291.4502,0.002835793
291.4503,0.0003280465
291.4503,0.0003279333
291.4502,0.0003450643
291.4502,0.000344603
291.45,0.002620782
291.45,0.0003089726
291.4501,0.002402441
291.45,0.0003087709
291.45,0.000308114
291.45,0.0003080942
291.4501,0.0002416043
291.4501,0.0002412909
291.45,0.0002867329
291.45,0.0002864761
291.45,0.00033267
291.45,0.0003272019
291.4501,0.002536552
291.45,0.0003326045
291.45,0.0003271677
291.45,0.0003302448
291.45,0.0003302783
291.45,0.0003152829
291.45,0.000329024
291.4502,0.002541251
291.45,0.0003153301
291.45,0.0003291118
291.45,0.0003323926
291.45,0.0003325108
291.4503,0.002544128
291.45,0.000316155
291.45,0.0003299488
291.4503,0.002548339
291.4503,0.002500038
291.4503,0.002726512
291.4502,0.0002914581
291.4503,0.0003248438
291.4503,0.0003244995
291.4502,0.0002916484
291.4503,0.000313806
291.4503,0.0003135933
291.4503,0.002786949
291.4503,0.003186998
291.4503,0.003132705
291.4504,0.003034102
291.4504,0.002793224
291.4505,0.002715453
291.4505,0.002687577
291.4504,0.002684222
291.4503,0.002693454
291.4502,0.00271114
291.4501,0.00270982
291.4502,0.0003459854
291.4502,0.0003444736
291.4502,0.0003446768
291.4501,0.0003429594
291.4502,0.0003424061
291.4502,0.0003409581
291.4502,0.0003488967
291.4502,0.0003474541
291.4503,0.002697049
291.4502,0.002928484
291.4502,0.002953902
291.4503,0.002888467
291.4503,0.002776849
291.4504,0.002720469
291.4504,0.002694752
291.4503,0.002685738
291.4503,0.002688046
291.4502,0.002701622
291.4502,0.002802441
291.4502,0.0003300126
291.4502,0.0003461985
291.4502,0.0003289854
291.4502,0.0003453175
291.4502,0.0003429524
291.4502,0.0003414486
291.4502,0.0003281389
291.4504,0.002379589
291.4502,0.002593108
291.4502,0.002606252
291.4502,0.002597223
291.4502,0.002576733
291.4502,0.002562802
291.4502,0.002555054
291.4502,0.002551148
291.4502,0.002550584
291.4502,0.002555576
291.4502,0.002454526
291.4502,0.002718716
291.4502,0.0002930651
291.4502,0.0003256674
291.4502,0.0003250811
291.4502,0.0003145348
291.4502,0.0002921362
291.4502,0.0003140732
291.4502,0.0003496744
291.4502,0.0003481717
291.4503,0.002640314
291.4503,0.003140757
291.4503,0.002731025
291.4503,0.003233719
291.4504,0.0001707119
291.4504,0.002429164
291.4504,0.0001707158
291.4504,0.0003091186
291.4504,0.0003091835
291.4503,0.002670897
291.4504,0.002619376
291.4504,0.0003368157
291.4503,0.0003368328
291.45,0.0003147259
291.4503,0.002470989
291.45,0.0003147869
291.45,0.0003145144
291.45,0.0003145815
291.4504,0.002644544
291.45,0.000341241
291.45,0.0003412621
291.45,0.0003300942
291.45,0.002665444
291.4502,0.002615846
291.45,0.0003301474
291.45,0.0003334494
291.45,0.0003335056
291.4504,0.002658466
291.45,0.0003151954
291.45,0.0003152184
291.45,0.0003302765
291.45,0.002591735
291.45,0.002610261
291.4501,0.002633514
291.45,0.0003303627
291.45,0.0003338805
291.45,0.0003339567
291.4502,0.002676641
291.45,0.0003154513
291.45,0.00031549
291.45,0.0003305558
291.45,0.002593088
291.45,0.002610473
291.45,0.0003340024
291.45,0.000334162
291.45,0.00262474
291.4501,0.002662151
291.45,0.000330735
291.4501,0.002694008
291.45,0.0003162043
291.45,0.0003162853
291.45,0.0003303579
291.45,0.002584046
291.45,0.002612361
291.45,0.0003337548
291.45,0.0003340829
291.45,0.0003341205
291.45,0.0003344696
291.45,0.002631829
291.45,0.002660332
291.4501,0.002687284
291.45,0.0003307762
291.4501,0.002686491
291.45,0.0003165595
291.45,0.000316739
291.45,0.002565323
291.45,0.002624653
291.45,0.0003335025
291.45,0.0003336556
291.45,0.002646935
291.45,0.00266611
291.4501,0.002688403
291.4501,0.002777051
291.4501,0.0003434095
291.4501,0.000342817
291.4501,0.0003419036
291.4501,0.000341164
291.45,0.0003166409
291.45,0.002652844
291.45,0.002646451
291.4501,0.002660048
291.4501,0.002670222
291.4502,0.002684339
291.4502,0.002637884
291.4503,0.000327662
291.4503,0.0003048699
291.4502,0.000344327
291.4503,0.0003259109
291.4502,0.0003400489
291.4502,0.0003395983
291.4501,0.002558342
291.45,0.0003086207
291.4501,0.002455979
291.45,0.0002891705
291.45,0.0003079695
291.45,0.0002854186
291.4501,0.0002404535
291.4501,0.0002377667
291.45,0.0002857039
291.45,0.000295597
291.45,0.0003324988
291.45,0.0003271257
291.4502,0.002537244
291.45,0.0003323177
291.45,0.0003271644
291.45,0.0003303682
291.45,0.0003305083
291.45,0.0003153227
291.45,0.0003291362
291.4504,0.002541661
291.45,0.0003152579
291.45,0.0003291419
291.45,0.0003325947
291.45,0.0003326794
291.45,0.0003163182
291.45,0.0003301463
291.4504,0.002544641
291.45,0.0003163702
291.45,0.0003302507
291.4503,0.002549282
291.45,0.0003307249
291.4503,0.002500723
291.4503,0.002574907
291.4503,0.0002916215
291.4503,0.0003243772
291.4503,0.0003029145
291.4503,0.0002916581
291.4503,0.0003135309
291.4503,0.0003283225
291.4502,0.000346714
291.4503,0.0003464142
291.4503,0.002752325
291.4503,0.003168081
291.4503,0.003130678
291.4503,0.003035182
291.4504,0.002794926
291.4504,0.002717335
291.4504,0.002688267
291.4504,0.002682041
291.4503,0.002687744
291.4502,0.002702924
291.4501,0.002699896
291.4501,0.0003439241
291.4501,0.0003421763
291.4501,0.0003431512
291.4501,0.0003413512
291.4502,0.0003409429
291.4502,0.0003393546
291.4502,0.0003394896
291.4501,0.0003378407
291.4502,0.0003259422
291.4502,0.0003244881
291.4504,0.002676813
291.4502,0.002886729
291.4502,0.002934002
291.4503,0.002882867
291.4503,0.002776094
291.4503,0.002721417
291.4504,0.002695819
291.4503,0.002685356
291.4503,0.002685022
291.4502,0.002695752
291.4502,0.00279495
291.4502,0.0003287036
291.4502,0.0003450091
291.4502,0.000328235
291.4502,0.0003445729
291.4502,0.0003406024
291.4502,0.0003399467
291.4502,0.0003262055
291.4502,0.0003247703
291.4562,0.002374548
291.4503,0.002575337
291.4502,0.00259229
291.4502,0.00259156
291.4502,0.002575111
291.4502,0.002562805
291.4502,0.002555716
291.4502,0.002551682
291.4502,0.002550056
291.4502,0.002553267
291.4502,0.002450621
291.4502,0.002714288
291.4502,0.0002920459
291.4502,0.000324734
291.4502,0.0003245286
291.4502,0.0003138166
291.4502,0.0002917871
291.4502,0.000313705
291.4502,0.0003471944
291.4502,0.0003467492
291.4503,0.002594538
291.4503,0.003137981
291.4503,0.002735005
291.4503,0.003238029
291.4503,0.0001707027
291.4503,0.002432551
291.4503,0.0001707095
291.4503,0.0003092218
291.4503,0.0003093617
291.4503,0.00267351
291.4504,0.002623049
291.4503,0.0003368525
291.4503,0.0003368713
291.45,0.0003148408
291.4503,0.002474249
291.45,0.000314914
291.45,0.0003146742
291.45,0.0003147963
291.4504,0.002647044
291.45,0.00034128
291.45,0.0003413021
291.45,0.0003302086
291.45,0.002669292
291.4502,0.002617476
291.45,0.0003302602
291.45,0.0003335998
291.45,0.0003336772
291.4504,0.002657603
291.45,0.0003152391
291.45,0.000315258
291.45,0.0003304497
291.45,0.002596763
291.45,0.002611586
291.4501,0.002630769
291.45,0.0003305027
291.45,0.0003340959
291.45,0.0003341555
291.4503,0.002671579
291.45,0.00031552
291.45,0.0003155417
291.45,0.0003308947
291.45,0.002601489
291.45,0.002612045
291.45,0.0003344005
291.45,0.0003344824
291.45,0.002619082
291.4501,0.002653139
291.45,0.0003309815
291.4501,0.002686188
291.45,0.000316343
291.45,0.0003163804
291.45,0.0003311082
291.45,0.002598858
291.45,0.002614095
291.45,0.0003345548
291.45,0.000334908
291.45,0.000334716
291.45,0.0003350806
291.45,0.002619402
291.45,0.002646513
291.4501,0.002675723
291.45,0.0003312885
291.4501,0.002675794
291.45,0.0003168629
291.45,0.0003169433
291.45,0.00258792
291.45,0.002615642
291.45,0.0003343509
291.45,0.0003345155
291.45,0.0003347398
291.45,0.000334931
291.45,0.002631436
291.45,0.0003311489
291.45,0.00265455
291.45,0.002677525
291.4501,0.002757454
291.4501,0.0003411004
291.4501,0.0003403242
291.4501,0.000340302
291.4501,0.0003394541
291.45,0.0003169291
291.45,0.0003171055
291.45,0.002570197
291.45,0.002627272
291.45,0.0003337567
291.45,0.0003339112
291.45,0.002648109
291.45,0.002665327
291.4501,0.002685457
291.4501,0.0025777
291.4501,0.0003424865
291.4501,0.0003242239
291.4501,0.0003408085
291.4501,0.0003223385
291.4502,0.0003383851
291.4501,0.0003378605
291.4501,0.000336843
291.4501,0.0003362662
291.45,0.0003168025
291.45,0.002714352
291.4501,0.00264894
291.4501,0.002661018
291.4502,0.002670759
291.4502,0.002684684
291.4503,0.002637363
291.4503,0.002842996
291.4502,0.0003394112
291.4502,0.0003232945
291.4502,0.0003237201
291.4502,0.0003233948
291.4502,0.002683925
291.45,0.002967334
291.4502,0.002493402
291.4502,0.0002280418
291.4502,0.000122725
291.45,0.0002672137
291.4501,0.0001018175
291.45,0.0003319316
291.45,0.0003274718
291.4504,0.002539436
291.45,0.0003348632
291.45,0.0003127328
291.45,0.0003308921
291.45,0.000313099
291.45,0.0003151733
291.45,0.0003291825
291.4504,0.002542064
291.45,0.0003151578
291.45,0.0003294149
291.45,0.0003328672
291.45,0.0003331829
291.45,0.0003163619
291.45,0.0003302897
291.4504,0.002544815
291.45,0.0003163036
291.45,0.0003303362
291.45,0.0003309303
291.4503,0.002549809
291.45,0.0003168611
291.45,0.0003310451
291.4503,0.002495455
291.4503,0.002575182
291.4503,0.000291611
291.4502,0.0002916015
291.4503,0.0003186962
291.4503,0.0003335193
291.4503,0.0003463182
291.4503,0.000351674
291.4503,0.002584732
291.4503,0.003082979
291.4503,0.003113052
291.4503,0.003034252
291.4504,0.002796581
291.4504,0.002720565
291.4504,0.002691489
291.4504,0.002682935
291.4503,0.002685009
291.4502,0.002697296
291.4501,0.002693392
291.4501,0.0003428691
291.4501,0.0003410772
291.4501,0.0003424819
291.4501,0.0003406694
291.4501,0.0003386278
291.4501,0.0003369484
291.4501,0.0003380179
291.4501,0.0003363346
291.4502,0.0003239653
291.4501,0.0003224588
291.4501,0.000322546
291.4501,0.0003210229
291.4556,0.002550051
291.4504,0.002823656
291.4502,0.00288509
291.4502,0.002866846
291.4503,0.002772499
291.4503,0.002722275
291.4503,0.002698365
291.4503,0.002687388
291.4503,0.002684667
291.4502,0.002692628
291.4502,0.002790387
291.4502,0.0003280703
291.4502,0.0003444482
291.4502,0.0003278676
291.4502,0.0003442278
291.4502,0.0003396737
291.4502,0.0003394372
291.4501,0.000323968
291.4501,0.0003235571
291.71,0.002375116
291.4514,0.002559319
291.4503,0.002571635
291.4502,0.002580204
291.4502,0.002571272
291.4502,0.002562207
291.4502,0.002556812
291.4502,0.002553475
291.4502,0.002551183
291.4502,0.002552709
291.4502,0.002448692
291.4502,0.002712223
291.4502,0.0002918039
291.4502,0.0003243962
291.4502,0.0003243113
291.4501,0.0003136388
291.4502,0.0002917241
291.4501,0.0003136048
291.4502,0.0003465139
291.4501,0.0003464176
291.4503,0.003046756
291.4503,0.002882087
291.4503,0.002737091
291.4503,0.00324727
291.4503,0.0001706759
291.4503,0.002437627
291.4503,0.0001706965
291.4503,0.0003094506
291.4503,0.0003097385
291.4503,0.002677249
291.4504,0.002628781
291.4503,0.0003368862
291.4503,0.0003368987
291.45,0.0003149831
291.4503,0.002479231
291.45,0.0003150739
291.4501,0.0003148919
291.4501,0.0003150847
291.4504,0.002652747
291.45,0.0003413242
291.45,0.0003413485
291.45,0.0003303125
291.45,0.002673881
